Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
SRR5364318_2 - illumina_universal_adapter	(1, 2.277193314606758e-06)	(2, 4.554386629213516e-06)	(3, 1.138596657303379e-05)	(4, 3.415789971910137e-05)	(5, 3.415789971910137e-05)	(6, 5.692983286516895e-05)	(7, 6.603860612359598e-05)	(8, 6.831579943820274e-05)	(9, 7.287018606741626e-05)	(10, 8.425615264045006e-05)	(12, 0.00011385966573033792)	(14, 0.0001525719520786528)	(16, 0.00018445265848314742)	(18, 0.00019925441502809135)	(20, 0.00023113512143258598)	(22, 0.00027440179441011437)	(24, 0.00033588601390449683)	(26, 0.00039395444342696915)	(28, 0.00045999304955056516)	(30, 0.0005749913119382065)	(32, 0.0007161772974438255)	(34, 0.0009268176790449506)	(36, 0.001279782642808998)	(38, 0.0017739335920786646)	(40, 0.0024195178967696806)	(42, 0.0033508899624438444)	(44, 0.004601069092162955)	(46, 0.0061598079160112805)	(48, 0.00823205383230343)	(50, 0.010913448960252889)	(52, 0.014134538903764149)	(54, 0.018409969351938338)	(56, 0.02339474551761253)	(58, 0.02946574289435415)	(60, 0.03706359838853959)	(62, 0.04678265945528124)	(64, 0.058711736633848745)	(66, 0.0737229949637365)	(68, 0.09180277128505684)	(70, 0.11448817108516937)	(72, 0.14285972259185498)	(74, 0.17906823489075974)	(76, 0.22353385014842858)	(78, 0.2771742772706481)	(80, 0.342165374469525)	(82, 0.4222861440506491)	(84, 0.5229790780359308)	(86, 0.6456867783901732)	(88, 0.7920249137700901)
SRR5364318_2 - polya	(1, 0.012975447506629309)	(2, 0.01911248348949452)	(3, 0.02374429469140467)	(4, 0.02739008118809009)	(5, 0.03016142545196651)	(6, 0.0322131766284272)	(7, 0.03425809622494407)	(8, 0.03927475309702276)	(9, 0.044384774895000326)	(10, 0.05086338987505655)	(12, 0.055372232637977935)	(14, 0.06069289481755662)	(16, 0.0664473623235679)	(18, 0.07256390356660165)	(20, 0.07845727986480394)	(22, 0.08439050704601185)	(24, 0.09010740086233211)	(26, 0.095560140254158)	(28, 0.10140000250946704)	(30, 0.10756778060207944)	(32, 0.11291918489140532)	(34, 0.11835484533337165)	(36, 0.12375407068230428)	(38, 0.1297294259398324)	(40, 0.1351161267255347)	(42, 0.14076698193573134)	(44, 0.1464736283821359)	(46, 0.1523749748569393)	(48, 0.15753509490783824)	(50, 0.16283753954090008)	(52, 0.168313050865872)	(54, 0.17413127978469228)	(56, 0.17964436479935525)	(58, 0.1848170094134845)	(60, 0.19038816285766993)	(62, 0.19576006188682726)	(64, 0.20131185918783856)	(66, 0.20674410383983297)	(68, 0.21231070289738918)	(70, 0.2179718054775016)	(72, 0.2234382080292151)	(74, 0.2288545123280073)	(76, 0.23403057273210845)	(78, 0.23925559279247366)	(80, 0.2444646724996366)	(82, 0.2505527488262378)	(84, 0.2563038005422772)	(86, 0.2619352996092996)	(88, 0.26731858460503005)
SRR5364321_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 1.159800031917697e-05)	(4, 8.350560229807417e-05)	(5, 0.0001090212030002635)	(6, 0.00012525840344711128)	(7, 0.0001438152039577944)	(8, 0.00015773280434080677)	(9, 0.00017165040472381913)	(10, 0.00019948560548984387)	(12, 0.0002215218060962801)	(14, 0.00025515600702189336)	(16, 0.00028183140775600037)	(18, 0.0003305430090965436)	(20, 0.0003734556102774984)	(22, 0.0004105692112988647)	(24, 0.00044768281232023097)	(26, 0.0005114718140757043)	(28, 0.0005961372164056962)	(30, 0.0006981996192144535)	(32, 0.0008860872243851204)	(34, 0.001166758832109203)	(36, 0.0015552918428016315)	(38, 0.0020667636568773356)	(40, 0.002842669878230275)	(42, 0.003967675909190441)	(44, 0.005346678147140583)	(46, 0.007116532995846988)	(48, 0.009353787257416226)	(50, 0.012354189939987308)	(52, 0.016168772244964612)	(54, 0.021212742583774674)	(56, 0.027546410558077217)	(58, 0.03547944277639427)	(60, 0.045298309846609486)	(62, 0.057712809388256514)	(64, 0.07356031702437993)	(66, 0.09335694376918309)	(68, 0.11779972944184855)	(70, 0.1480357162739429)	(72, 0.18582316111385339)	(74, 0.23435847284954517)	(76, 0.29458108950687156)	(78, 0.36846383094012464)	(80, 0.45857217481990625)	(82, 0.567800982025883)	(84, 0.7027471951396027)	(86, 0.8678679256837253)	(88, 1.0663781393467264)
SRR5364321_1 - polya	(1, 0.004673994128628319)	(2, 0.010132013078833)	(3, 0.012537438345030303)	(4, 0.015603949629420693)	(5, 0.017652156485787347)	(6, 0.019173814127663363)	(7, 0.021108360580902083)	(8, 0.024576162676335996)	(9, 0.029802221620157138)	(10, 0.03528111697093634)	(12, 0.038492603259316444)	(14, 0.04276762617696507)	(16, 0.046903473090783576)	(18, 0.05048145618924967)	(20, 0.05471588610578118)	(22, 0.05816977060083209)	(24, 0.06134530308822274)	(26, 0.06416709656587849)	(28, 0.06738902105454586)	(30, 0.07091829255167141)	(32, 0.07424575884324328)	(34, 0.07744564713130421)	(36, 0.08140404464023931)	(38, 0.08518383294425907)	(40, 0.08896826044840653)	(42, 0.09207072553378637)	(44, 0.09513491721811293)	(46, 0.09823390290339701)	(48, 0.10176897340068215)	(50, 0.1053052036979992)	(52, 0.10790315576949484)	(54, 0.11070639244663992)	(56, 0.11382741433253044)	(58, 0.11668632141120758)	(60, 0.1200961335050456)	(62, 0.123275145392532)	(64, 0.1271801920999989)	(66, 0.13087415520165674)	(68, 0.13380265028224891)	(70, 0.13676941876389442)	(72, 0.13976170284624206)	(74, 0.14263220792523834)	(76, 0.14569176040943727)	(78, 0.14860633788964642)	(80, 0.1516600913736857)	(82, 0.15473124185820375)	(84, 0.15756695293624257)	(86, 0.16049892741693048)	(88, 0.16363038750310827)
SRR5364321_2 - illumina_universal_adapter	(1, 2.3196000638353936e-06)	(2, 6.9588001915061815e-06)	(3, 1.6237200446847757e-05)	(4, 6.726840185122641e-05)	(5, 9.046440248958035e-05)	(6, 0.0001113408030640989)	(7, 0.00012989760357478205)	(8, 0.00013685640376628823)	(9, 0.0001461348040216298)	(10, 0.00016701120459614835)	(12, 0.00020064540552176157)	(14, 0.00024703740679846945)	(16, 0.00027835200766024727)	(18, 0.00032242440887311974)	(20, 0.0003699762101817453)	(22, 0.00043028581184146556)	(24, 0.0004639200127670788)	(26, 0.0005277090145225521)	(28, 0.0006204930170759679)	(30, 0.0007376328202996552)	(32, 0.000933639025693746)	(34, 0.0012177900335135817)	(36, 0.001626039644748611)	(38, 0.00213519185876048)	(40, 0.002919216680336843)	(42, 0.004052341311520433)	(44, 0.005441781749757834)	(46, 0.0072104767984323215)	(48, 0.009473246660703748)	(50, 0.012485247343594007)	(52, 0.01633694324959268)	(54, 0.021408748789168767)	(56, 0.02775401476379049)	(58, 0.0356128197800648)	(60, 0.04532614504737551)	(62, 0.05760378818525625)	(64, 0.0733817078194646)	(66, 0.09298232835887368)	(68, 0.1171154474230171)	(70, 0.1473537538551753)	(72, 0.18518411129626672)	(74, 0.23371710343189467)	(76, 0.2939350808890934)	(78, 0.36770996091937813)	(80, 0.45753531359137184)	(82, 0.5663431133857625)	(84, 0.7007674164851193)	(86, 0.8652456178115594)	(88, 1.0632258028599741)
SRR5364321_2 - polya	(1, 0.014761934806248446)	(2, 0.02157923939386067)	(3, 0.02677050433672428)	(4, 0.030734700845818967)	(5, 0.033631881325549375)	(6, 0.035777511384597116)	(7, 0.03813654464951771)	(8, 0.043666471201701286)	(9, 0.049435316560459915)	(10, 0.05671422156077538)	(12, 0.06183473870169201)	(14, 0.06771028566338706)	(16, 0.07399176263625332)	(18, 0.08045068901400296)	(20, 0.08715665279855109)	(22, 0.0939600397857803)	(24, 0.10008262415427382)	(26, 0.10591873791488367)	(28, 0.11260266549882536)	(30, 0.11911262307797939)	(32, 0.12493713883827007)	(34, 0.13078021139907142)	(36, 0.13691555356791604)	(38, 0.1435716459510917)	(40, 0.1494367547124995)	(42, 0.1554793128787907)	(44, 0.16144184484287957)	(46, 0.16823711322988538)	(48, 0.17390505598586714)	(50, 0.17964838574392356)	(52, 0.18544854570354397)	(54, 0.19167551207491007)	(56, 0.19747683183456244)	(58, 0.20316333139105486)	(60, 0.20913282215533527)	(62, 0.21480424431141282)	(64, 0.22055917206978842)	(66, 0.22626886762691922)	(68, 0.23280666040683928)	(70, 0.2393131385858976)	(72, 0.24511793774564566)	(74, 0.2510004435075322)	(76, 0.25678668586676956)	(78, 0.26247898442342166)	(80, 0.2681909995806163)	(82, 0.27475430796123856)	(84, 0.2810821769353815)	(86, 0.2870899411007152)	(88, 0.2929933232631763)
SRR5364323_1 - illumina_universal_adapter	(1, 0.0)	(2, 6.561477578260985e-06)	(3, 8.748636771014647e-06)	(4, 4.811750224058056e-05)	(5, 5.905329820434887e-05)	(6, 6.561477578260985e-05)	(7, 8.311204932463914e-05)	(8, 8.52992085173928e-05)	(9, 9.842216367391477e-05)	(10, 0.00012357449439058188)	(12, 0.0001531011434927563)	(14, 0.00018372137219130758)	(16, 0.00021543518048623567)	(18, 0.0002416810907992796)	(20, 0.00026464626232319306)	(22, 0.00030729586658188944)	(24, 0.0003608812668043542)	(26, 0.0004286832017797177)	(28, 0.0005194503082789946)	(30, 0.0006922358845065339)	(32, 0.0009525078284442197)	(34, 0.0013954075649768361)	(36, 0.00201874793491163)	(38, 0.00297453650214498)	(40, 0.004336043099634134)	(42, 0.006295737736341415)	(44, 0.008803315750833488)	(46, 0.011969228682344414)	(48, 0.015805505906434335)	(50, 0.02081081971905109)	(52, 0.02727715587242729)	(54, 0.035421043126645554)	(56, 0.045103596872966015)	(58, 0.0573002901113568)	(60, 0.07240153075772446)	(62, 0.09101534906765449)	(64, 0.11416205480456651)	(66, 0.14243218095050397)	(68, 0.17701226136753573)	(70, 0.21923974390203066)	(72, 0.2712952262691642)	(74, 0.33663660715267985)	(76, 0.4158544195346211)	(78, 0.5105004528622467)	(80, 0.6232025789056501)	(82, 0.7611499899314127)	(84, 0.9303245663317157)	(86, 1.133651633526867)	(88, 1.3718912293363488)
SRR5364323_1 - polya	(1, 0.003976255412426157)	(2, 0.009273554977275526)	(3, 0.011644435542220494)	(4, 0.014763324551087215)	(5, 0.016858623057745225)	(6, 0.018538361317780035)	(7, 0.020366826402922096)	(8, 0.023805040653930853)	(9, 0.028942677597709205)	(10, 0.034511184902460024)	(12, 0.03801173319046226)	(14, 0.04236527356363842)	(16, 0.046455261254087776)	(18, 0.049883633288729134)	(20, 0.05397471455877487)	(22, 0.05752775466740319)	(24, 0.06087410823231629)	(26, 0.06380818228939533)	(28, 0.06712391562560988)	(30, 0.07084208625329111)	(32, 0.0743491960188716)	(34, 0.07749105019926222)	(36, 0.08128577139868984)	(38, 0.08519313129654425)	(40, 0.08909502329641679)	(42, 0.09223250315842191)	(44, 0.0952157882973379)	(46, 0.09839154344521622)	(48, 0.10216111231392716)	(50, 0.10571633958174823)	(52, 0.10833546271507075)	(54, 0.11109675119592224)	(56, 0.11407019411847084)	(58, 0.11709831602083828)	(60, 0.120359370377234)	(62, 0.12348591444327536)	(64, 0.1277738400406689)	(66, 0.131999431601069)	(68, 0.13503630214020745)	(70, 0.13789054488675098)	(72, 0.14107286151220755)	(74, 0.1439828768181663)	(76, 0.14700225008376272)	(78, 0.14997897374510047)	(80, 0.15307599116203965)	(82, 0.15619050585252087)	(84, 0.15929189758784557)	(86, 0.16227518272676156)	(88, 0.1652289412165754)
SRR5364323_2 - illumina_universal_adapter	(1, 0.0)	(2, 2.1871591927536617e-06)	(3, 6.561477578260985e-06)	(4, 4.811750224058056e-05)	(5, 5.905329820434887e-05)	(6, 6.998909416811718e-05)	(7, 9.623500448116112e-05)	(8, 0.00010498364125217576)	(9, 0.00011373227802319041)	(10, 0.00014325892712536485)	(12, 0.00016950483743840877)	(14, 0.00020778012331159785)	(16, 0.0002449618295884101)	(18, 0.0002701141603050772)	(20, 0.0002985472298108748)	(22, 0.00034994547084058586)	(24, 0.0004079051894485579)	(26, 0.0004800814428094287)	(28, 0.0005850650840616045)	(30, 0.000768786456252912)	(32, 0.001039994196154366)	(34, 0.001485081091879736)	(36, 0.002118263678181921)	(38, 0.0030795201433971558)	(40, 0.004448681798060948)	(42, 0.006413844332750112)	(44, 0.00894110677997697)	(46, 0.01210483255229514)	(48, 0.015994695176607527)	(50, 0.02106343660581414)	(52, 0.027556018669503385)	(54, 0.035727245413631065)	(56, 0.04541417347833703)	(58, 0.05748619864274086)	(60, 0.07242996382723026)	(62, 0.09088193235689652)	(64, 0.11382741944807519)	(66, 0.1418318057520931)	(68, 0.1762194161601625)	(70, 0.21860765489532485)	(72, 0.27078889891604174)	(74, 0.3362724451470863)	(76, 0.4155230649169189)	(78, 0.51032438654723)	(80, 0.6231249347543073)	(82, 0.7609903273103417)	(84, 0.9300971017756693)	(86, 1.1334733800526575)	(88, 1.3718879485975597)
SRR5364323_2 - polya	(1, 0.01592470608243941)	(2, 0.023721928604606216)	(3, 0.029163580676177324)	(4, 0.033708497478719436)	(5, 0.03662616784185282)	(6, 0.038631792821607926)	(7, 0.040792706104048546)	(8, 0.046245293971583425)	(9, 0.05211125492654874)	(10, 0.05986254710566771)	(12, 0.06486348659989896)	(14, 0.07062665107280486)	(16, 0.07692238880914629)	(18, 0.08362821889412901)	(20, 0.09018204141521535)	(22, 0.09709346446431692)	(24, 0.10327984424102066)	(26, 0.1089183406399396)	(28, 0.11542513923838174)	(30, 0.12193849931440215)	(32, 0.12784820345322254)	(34, 0.1338782013476444)	(36, 0.13960855843265896)	(38, 0.14600927981025258)	(40, 0.15196491429212078)	(42, 0.15808021139506)	(44, 0.16439453998453984)	(46, 0.17112661597983564)	(48, 0.17695976954690962)	(50, 0.18263107333371986)	(52, 0.18851343798263087)	(54, 0.19456093315059472)	(56, 0.20049250888134265)	(58, 0.2063475340403442)	(60, 0.21247923483722908)	(62, 0.2183692545433147)	(64, 0.2245250140913199)	(66, 0.23037785209112868)	(68, 0.23734832843843462)	(70, 0.24441832052901083)	(72, 0.25033677330460224)	(74, 0.2561939856227965)	(76, 0.26196480515287707)	(78, 0.2675169087636823)	(80, 0.2731969611872635)	(82, 0.27964142574871215)	(84, 0.28588248450523474)	(86, 0.2920054366653486)	(88, 0.29796544546560233)
SRR5364330_1 - illumina_universal_adapter	(1, 0.0)	(2, 5.97256240665756e-06)	(3, 1.194512481331512e-05)	(4, 4.9771353388813e-05)	(5, 6.569818647323316e-05)	(6, 8.361587369320583e-05)	(7, 9.157929023541591e-05)	(8, 0.00010551526918428356)	(9, 0.00011746039399759867)	(10, 0.00014533235189533394)	(12, 0.00017220888272529296)	(14, 0.0001960991323519232)	(16, 0.00022695737145298725)	(18, 0.00027175158950291895)	(20, 0.0003075869639428643)	(22, 0.00035138575492501975)	(24, 0.0004041433895171615)	(26, 0.0004549101699737508)	(28, 0.0005335489083280753)	(30, 0.0006360778963090301)	(32, 0.000804305070763218)	(34, 0.0010999469098927671)	(36, 0.001512053715952139)	(38, 0.0020814379987201597)	(40, 0.002864839101060076)	(42, 0.003936914053055108)	(44, 0.005513670528412704)	(46, 0.007561264006828471)	(48, 0.010072726498827974)	(50, 0.013266056532254215)	(52, 0.017376174895102393)	(54, 0.022679810312214305)	(56, 0.029404915582110717)	(58, 0.03754153643411387)	(60, 0.047998497781103475)	(62, 0.06089624629828048)	(64, 0.07722821819928558)	(66, 0.09779573227367866)	(68, 0.1236350280990148)	(70, 0.15445345011736783)	(72, 0.19310289687791665)	(74, 0.24213265710123633)	(76, 0.30362317335897926)	(78, 0.37821251440159)	(80, 0.46928513225950774)	(82, 0.5790697881374838)	(84, 0.7165432433327241)	(86, 0.8831000911671834)	(88, 1.0829141573360475)
SRR5364330_1 - polya	(1, 0.005673934286324681)	(2, 0.010308642713890948)	(3, 0.012809155508144912)	(4, 0.015632186672358387)	(5, 0.017802217680110633)	(6, 0.019297349135910576)	(7, 0.021224495939125416)	(8, 0.024212767996589748)	(9, 0.02854486659555203)	(10, 0.03307505518100179)	(12, 0.035949848552739624)	(14, 0.03957917564185187)	(16, 0.04298751792191778)	(18, 0.045997689374873196)	(20, 0.0496369707346632)	(22, 0.05257248515753539)	(24, 0.05521434859541358)	(26, 0.057537675371603376)	(28, 0.0602074107673793)	(30, 0.06312500750303152)	(32, 0.06584949138753515)	(34, 0.06862971918783424)	(36, 0.07214258131001666)	(38, 0.0753279479269007)	(40, 0.07855810876183467)	(42, 0.08118603622076398)	(44, 0.08357107947515591)	(46, 0.08627665024537177)	(48, 0.08959341323520227)	(50, 0.09273398563403637)	(52, 0.09489903950644973)	(54, 0.09713377327360745)	(56, 0.09964025863026807)	(58, 0.1021636662470809)	(60, 0.10485729189248344)	(62, 0.10749915533036164)	(64, 0.11211495064364016)	(66, 0.11652469255388899)	(68, 0.11898439283836412)	(70, 0.12146300623712701)	(72, 0.1240341943531931)	(74, 0.12634059886923069)	(76, 0.12896155833868556)	(78, 0.1314590848517362)	(80, 0.13400240100990457)	(82, 0.13663928731244387)	(84, 0.13913482297135896)	(86, 0.14175379158667828)	(88, 0.14432697055687993)
SRR5364330_2 - illumina_universal_adapter	(1, 1.99085413555252e-06)	(2, 5.97256240665756e-06)	(3, 1.194512481331512e-05)	(4, 5.5743915795470556e-05)	(5, 6.569818647323316e-05)	(6, 7.565245715099576e-05)	(7, 8.361587369320583e-05)	(8, 9.357014437096843e-05)	(9, 0.0001094969774553886)	(10, 0.00012343295640425623)	(12, 0.00015329576843754403)	(14, 0.0001841540075386081)	(16, 0.00021998938197855347)	(18, 0.00025980646468960387)	(20, 0.0003085823910106406)	(22, 0.00036134002560278235)	(24, 0.0004270382120760155)	(26, 0.0004698415759903947)	(28, 0.0005564437308869293)	(30, 0.0006629544271389891)	(32, 0.0008321770286609533)	(34, 0.0011278188677905025)	(36, 0.0015528662257309656)	(38, 0.002125236789702315)	(40, 0.002918592162719994)	(42, 0.003998630531257236)	(44, 0.005601268110377014)	(46, 0.007641893599318347)	(48, 0.010186205184554467)	(50, 0.013397452905200682)	(52, 0.0175185209657944)	(54, 0.022858987184414033)	(56, 0.02956717019415825)	(58, 0.03760823004765488)	(60, 0.04792881788635914)	(62, 0.0606732706350986)	(64, 0.0768330336533784)	(66, 0.09714770925255631)	(68, 0.1228257458929127)	(70, 0.1536491450466046)	(72, 0.1922498158808324)	(74, 0.2413044617808465)	(76, 0.30282185456941935)	(78, 0.3773425111443535)	(80, 0.468251878963156)	(82, 0.5778215225944923)	(84, 0.714865948723521)	(86, 0.8810395571368865)	(88, 1.0803937360004383)
SRR5364330_2 - polya	(1, 0.014690512666242043)	(2, 0.02196509367755095)	(3, 0.027133351013445293)	(4, 0.030965745224383893)	(5, 0.033812666638224)	(6, 0.0357915756489632)	(7, 0.038063140217628626)	(8, 0.043482245174602585)	(9, 0.049178078856418346)	(10, 0.056219729933867604)	(12, 0.060957962776482605)	(14, 0.0668080876538037)	(16, 0.07290806472513661)	(18, 0.07927780253183689)	(20, 0.08580680866938138)	(22, 0.09231192455729924)	(24, 0.09830340007824455)	(26, 0.10403009199916137)	(28, 0.11046353713819934)	(30, 0.11696666217198165)	(32, 0.12284366358013268)	(34, 0.12874754151911366)	(36, 0.1345757670009437)	(38, 0.14099527616103277)	(40, 0.14708131725341683)	(42, 0.15311559613827652)	(44, 0.15919466924118614)	(46, 0.16565698176518961)	(48, 0.17119056083495787)	(50, 0.17703272229573672)	(52, 0.18298537616103877)	(54, 0.18915005599177714)	(56, 0.19528985014582112)	(58, 0.20105038658704233)	(60, 0.2071065648673931)	(62, 0.21301641536878074)	(64, 0.21927267448975452)	(66, 0.22531591221822422)	(68, 0.23323453454238435)	(70, 0.2411621157101545)	(72, 0.2471914174596753)	(74, 0.25317692041821394)	(76, 0.25884886385040307)	(78, 0.26446605879386453)	(80, 0.2702524763388479)	(82, 0.2767536105184947)	(84, 0.2829342171823175)	(86, 0.28897048692131266)	(88, 0.2947907489866005)
